policy_id,ref_num,url,error,file_type,expected_filename
211000004,1,https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,403 Client Error: Forbidden for url: https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,,211000004_ref1
211000005,1,http://www.iso.org/iso/en/kidsiso14000/index.html,404 Client Error: Not Found for url: https://www.iso.org/iso/en/kidsiso14000/index.html,,211000005_ref1
211000006,1,https://www.service-public.fr/particuliers/actualites/A13767,410 Client Error: Gone for url: https://www.service-public.gouv.fr/particuliers/actualites/A13767,,211000006_ref1
211000007,1,https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,403 Client Error: Forbidden for url: https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,,211000007_ref1
211000008,1,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,"HTTPConnectionPool(host='www.nathers.gov.au', port=80): Read timed out. (read timeout=30)",,211000008_ref1
211000012,1,https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,,211000012_ref1
211000013,1,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,403 Client Error: Forbidden for url: https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,,211000013_ref1
211000016,1,https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,,211000016_ref1
211000017,1,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,,211000017_ref1
211000020,1,https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,,211000020_ref1
