policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000004,reference,1,https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,403 Client Error: Forbidden for url: https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,France,Investment for the Future Programme France (2014),403_Forbidden
211000005,reference,1,http://www.iso.org/iso/en/kidsiso14000/index.html,404 Client Error: Not Found for url: https://www.iso.org/iso/en/kidsiso14000/index.html,Republic of Korea,Kids ISO 14000 Program for Energy Conservation and GHG Reduction Republic of Korea (2005),404_Not_Found
211000006,reference,1,https://www.service-public.fr/particuliers/actualites/A13767,410 Client Error: Gone for url: https://www.service-public.gouv.fr/particuliers/actualites/A13767,France,MaPrimeRénov Programme France (2020),Other_Error
211000007,reference,1,https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,403 Client Error: Forbidden for url: https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,Italy,Feed-In Premium for photovoltaic systems (I-II-III-IV Conto Energia) Italy (2005),403_Forbidden
211000008,reference,1,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,"HTTPConnectionPool(host='www.nathers.gov.au', port=80): Read timed out. (read timeout=30)",Australia,10 Star NatHERS Rating for Buildings Australia (2015),Timeout
211000012,reference,1,https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,Germany,100 Million Programme Germany (1995),403_Forbidden
211000013,reference,1,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,403 Client Error: Forbidden for url: https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,India,100 Smart Cities Mission India (2015),403_Forbidden
211000016,reference,1,https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,France,12-month Amortisation Law Extension France (1999),403_Forbidden
211000017,reference,1,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,China,12th Five Year Plan for National Strategic Emerging Industries China (2012),403_Forbidden
211000020,reference,1,https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,China,13th Five-Year Plan (2016-2020) China (2015),403_Forbidden
211000022,reference,1,http://www.nrm.gov.au/national/20-million-trees,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",Australia,20 Million Trees Australia (2014),Connection_Error
211000023,reference,1,http://mospi.nic.in/twenty-point-programme/archived-twenty-point-programme-1986,"HTTPConnectionPool(host='mospi.nic.in', port=80): Max retries exceeded with url: /twenty-point-programme/archived-twenty-point-programme-1986 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFCAF190>: Failed to resolve 'mospi.nic.in' ([Errno 11001] getaddrinfo failed)""))",India,20 point Programme India (1986),Connection_Error
211000025,reference,1,https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,403 Client Error: Forbidden for url: https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,France,Thermal Regulation France (2000),403_Forbidden
211000031,reference,1,https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,United Kingdom,National Energy Efficiency Action Plan United Kingdom (2011),403_Forbidden
211000036,reference,1,https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,403 Client Error: Forbidden for url: https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,Japan,Automobile Industry Stategy Japan (2014),403_Forbidden
211000039,reference,1,https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,United States of America,2015 IECC with Amendments (Massachusetts) United States of America (2017),403_Forbidden
211000040,reference,1,https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,United States of America,2015 IECC with Amendments (Pennsylvania) United States of America (2018),403_Forbidden
211000041,reference,1,https://www.iea.org/policies/7137-2015-iecc-with-amendments-commercial-building-code-virginia?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7137-2015-iecc-with-amendments-commercial-building-code-virginia?country=United%20States&qs=united,United States of America,2015 IECC with Amendments - Commercial Building Code (Virginia) United States of America (2018),Other_Error
211000042,reference,1,https://www.iea.org/policies/7138-2015-iecc-with-amendments-residential-building-code-virginia?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7138-2015-iecc-with-amendments-residential-building-code-virginia?country=United%20States&qs=united,United States of America,2015 IECC with Amendments - Residential Building code (Virginia) United States of America (2018),Other_Error
211000043,reference,1,https://www.iea.org/policies/7124-2015-iecc-with-amendments-state-building-code-pennsylvania?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7124-2015-iecc-with-amendments-state-building-code-pennsylvania?country=United%20States&qs=united,United States of America,2015 IECC with Amendments - State Building Code (Pennsylvania) United States of America (2018),Other_Error
211000044,reference,1,https://www.iea.org/policies/8477-2017-2025-cafeghg-rule?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/8477-2017-2025-cafeghg-rule?country=United%20States&qs=united,United States of America,CAFE/GHG Rule United States of America (2017),Other_Error
