policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000748,reference,1,https://prod.iea.org/policies/1409-ecoenergy-efficiency-for-vehicles?page=127,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/1409-ecoenergy-efficiency-for-vehicles?page=127,Canada,EcoENERGY Efficiency for Vehicles Canada (2007),401_Unauthorized
211000911,reference,1,https://www.iea.org/policies/88-energy-efficiency-roadmap?country=Mexico&qs=mexico https://www.gob.mx/cms/uploads/attachment/file/313765/HojadeRutadeEficienciaEnergeticavOdeB24012017SCC_07112017_VF.pdf,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/88-energy-efficiency-roadmap?country=Mexico&qs=mexico%20https://www.gob.mx/cms/uploads/attachment/file/313765/HojadeRutadeEficienciaEnergeticavOdeB24012017SCC_07112017_VF.pdf,Mexico,Energy Efficiency Roadmap Mexico (2017),401_Unauthorized
211001089,reference,1,https://prod.iea.org/policies/769-exceptional-12-months-amortisation?page=14&technology=Multiple%20technologies&year=desc,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/769-exceptional-12-months-amortisation?page=14&technology=Multiple%20technologies&year=desc,France,Exceptional 12 Months Amortisation France (2001),401_Unauthorized
211001768,reference,1,https://prod.iea.org/policies/7796-nom-016-ener-2016-energy-efficiency-of-ac-motors-three-phase-induction-squirrel-cage-type-nominal-power-of-0746-kw-to-373-kw-limits-testing-method-and-marking,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/7796-nom-016-ener-2016-energy-efficiency-of-ac-motors-three-phase-induction-squirrel-cage-type-nominal-power-of-0746-kw-to-373-kw-limits-testing-method-and-marking,Japan,Mandatory Energy Efficiency Standard for AC Motors (three-phase cage-induction motors) - Top Runner Program Japan (2013),401_Unauthorized
211002238,reference,1,https://prod.iea.org/policies/982-national-energy-conservation-programme-procel-industry?country=Brazil&page=1&q=PROCEL,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/982-national-energy-conservation-programme-procel-industry?country=Brazil&page=1&q=PROCEL,Brazil,PROCEL Industry Brazil (2003),401_Unauthorized
211002239,reference,1,https://prod.iea.org/policies/130-national-energy-conservation-programme-procel-municipal-energy-management?country=Brazil&page=1&q=PROCEL,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/130-national-energy-conservation-programme-procel-municipal-energy-management?country=Brazil&page=1&q=PROCEL,Brazil,PROCEL Municipal Energy Management Brazil (1998),401_Unauthorized
211002319,reference,1,https://prod.iea.org/policies/1878-program-to-help-municipalities?language=zh&page=2&type=Funds%20to%20sub-national%20governments,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/1878-program-to-help-municipalities?language=zh&page=2&type=Funds%20to%20sub-national%20governments,Canada,Program to Help Municipalities Save Energy Canada (1999),401_Unauthorized
211002511,reference,1,https://prod.iea.org/policies/3551-renewable-energy-purchasing-conditions?page=85&sector=Generation%2CIndustry%2CBuildings,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/3551-renewable-energy-purchasing-conditions?page=85&sector=Generation%2CIndustry%2CBuildings,France,Renewable Energy Purchasing Conditions France (1999),401_Unauthorized
211002724,reference,1,https://prod.iea.org/policies/1932-standards-for-building-energy-audits?page=3&region=Eurasia&topic=Energy%20Efficiency,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/1932-standards-for-building-energy-audits?page=3&region=Eurasia&topic=Energy%20Efficiency,Russian Federation,Standards for Building Energy Audits Russia Russian Federation (2003),401_Unauthorized
211003097,reference,1,https://www.iea.org/policies/1401-walk-through-energy-audit-wtea-scheme-for-small-and-medium-enterprises-in-maharashtra-2010-2013?country=India&page=5&qs=indi,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1401-walk-through-energy-audit-wtea-scheme-for-small-and-medium-enterprises-in-maharashtra-2010-2013?country=India&page=5&qs=indi,India,Walk-through Energy Audit (WTEA) Scheme for Small and Medium Enterprises in Maharashtra India (2010),401_Unauthorized
211003485,reference,1,http://climateinfo.pk/frontend/web/attachments/data-type/MoWP_AEDB%20(2011)%20Alternative%20and%20Renewable%20Energy%20Policy%20-%20Midterm%20Policy.pdf,401 Client Error: Unauthorized for url: https://climateinfo.pk/frontend/web/attachments/data-type/MoWP_AEDB%20(2011)%20Alternative%20and%20Renewable%20Energy%20Policy%20-%20Midterm%20Policy.pdf,Pakistan,Alternative and Renewable Energy Policy Pakistan (2006),401_Unauthorized
211003486,reference,1,http://climateinfo.pk/frontend/web/attachments/data-type/MoWP_AEDB%20(2011)%20Alternative%20and%20Renewable%20Energy%20Policy%20-%20Midterm%20Policy.pdf,401 Client Error: Unauthorized for url: https://climateinfo.pk/frontend/web/attachments/data-type/MoWP_AEDB%20(2011)%20Alternative%20and%20Renewable%20Energy%20Policy%20-%20Midterm%20Policy.pdf,Pakistan,Alternative and Renewable Energy Policy Pakistan (2011),401_Unauthorized
211003721,reference,1,https://www.iea.org/policies/3850-electricity-law-401994?country=Spain&page=6&qs=spai,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/3850-electricity-law-401994?country=Spain&page=6&qs=spai,Spain,Electricity Law 40/1994 Spain (1994),401_Unauthorized
211004747,reference,1,https://prod.iea.org/policies/4687-programme-for-state-support-of-non-traditional-and-renewable-energy-sources?country=Ukraine,401 Client Error: Unauthorized for url: https://prod.iea.org/policies/4687-programme-for-state-support-of-non-traditional-and-renewable-energy-sources?country=Ukraine,Ukraine,Programme for State Support of Non-traditional and Renewable Energy Sources Ukraine (1997),401_Unauthorized
