policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000004,reference,1,https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,403 Client Error: Forbidden for url: https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,France,Investment for the Future Programme France (2014),403_Forbidden
211000007,reference,1,https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,403 Client Error: Forbidden for url: https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,Italy,Feed-In Premium for photovoltaic systems (I-II-III-IV Conto Energia) Italy (2005),403_Forbidden
211000012,reference,1,https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,Germany,100 Million Programme Germany (1995),403_Forbidden
211000013,reference,1,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,403 Client Error: Forbidden for url: https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,India,100 Smart Cities Mission India (2015),403_Forbidden
211000016,reference,1,https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,France,12-month Amortisation Law Extension France (1999),403_Forbidden
211000017,reference,1,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,China,12th Five Year Plan for National Strategic Emerging Industries China (2012),403_Forbidden
211000020,reference,1,https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,China,13th Five-Year Plan (2016-2020) China (2015),403_Forbidden
211000025,reference,1,https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,403 Client Error: Forbidden for url: https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,France,Thermal Regulation France (2000),403_Forbidden
211000031,reference,1,https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,United Kingdom,National Energy Efficiency Action Plan United Kingdom (2011),403_Forbidden
211000036,reference,1,https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,403 Client Error: Forbidden for url: https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,Japan,Automobile Industry Stategy Japan (2014),403_Forbidden
211000039,reference,1,https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,United States of America,2015 IECC with Amendments (Massachusetts) United States of America (2017),403_Forbidden
211000040,reference,1,https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,United States of America,2015 IECC with Amendments (Pennsylvania) United States of America (2018),403_Forbidden
211000103,reference,1,https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,403 Client Error: Forbidden for url: https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,Japan,Act on the Protection of the Ozone Layer Japan (2018),403_Forbidden
211000151,reference,1,http://legislative.gov.in/sites/default/files/A1981-14.pdf,403 Client Error: Forbidden for url: https://www.legislative.gov.in/sites/default/files/A1981-14.pdf,India,Air Prevention and Control of Pollution Act India (1981),403_Forbidden
211000160,reference,1,http://www.climatechangecentral.com/,403 Client Error: Forbidden for url: http://www.climatechangecentral.com/,Canada,Alberta Climate Change Central Canada (1999),403_Forbidden
211000174,reference,1,http://www.nhtsa.gov/fuel-economy,403 Client Error: Forbidden for url: http://www.nhtsa.gov/fuel-economy,United States of America,Alternative Motor Fuels Act United States of America (1988),403_Forbidden
211000182,reference,1,https://www.unep.org/resources/policy-and-strategy/air-quality-policies-saudi-arabia,403 Client Error: Forbidden for url: https://www.unep.org/resources/policy-and-strategy/air-quality-policies-saudi-arabia,Saudi Arabia,Ambient Air Standards Saudi Arabia (2012),403_Forbidden
211000219,reference,1,https://aviationbenefits.org/case-studies/aspire/,403 Client Error: Forbidden for url: https://aviationbenefits.org/case-studies/aspire/,United States of America,Australia and South Pacific Initiative to Reduce Emissions (ASPIRE) United States of America (2008),403_Forbidden
211000235,reference,1,https://www.sciencedirect.com/science/article/abs/pii/S095965262400920X,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/abs/pii/S095965262400920X,United States of America,"Aviation Low Emissions, Fuel Efficiency, and Renewable Fuels Measures United States of America (2012)",403_Forbidden
211000246,reference,1,https://www.unece.org/fileadmin/DAM/hlm/Meetings/2018/05_14/Documents/Annex_II._Countries_information__sheets-FINAL.pdf,403 Client Error: Forbidden for url: https://www.unece.org/fileadmin/DAM/hlm/Meetings/2018/05_14/Documents/Annex_II._Countries_information__sheets-FINAL.pdf,Turkey,Bep-TR Regulations and rating of energy performance in buildings Turkey (2010),403_Forbidden
211000266,reference2,2,https://www.reuters.com/article/business/energy/indonesia-to-implement-mandatory-35-biodiesel-blending-starting-jan-1-2023-idUSL1N33602Q/,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/business/energy/indonesia-to-implement-mandatory-35-biodiesel-blending-starting-jan-1-2023-idUSL1N33602Q/,Indonesia,Biofuel Blending (Ministry Regulation No. 25/13) Indonesia (2013),403_Forbidden
211000282,reference2,2,http://www.platts.com/latest-news/agriculture/jakarta/indonesias-new-biodiesel-mandate-to-cut-gasoil-27259805,403 Client Error: Forbidden for url: https://www.spglobal.com/platts/en/market-insights/latest-news,Indonesia,Biofuels Mandate Indonesia (2015),403_Forbidden
211000293,reference,1,https://www.govtrack.us/congress/bills/96/s932,403 Client Error: Forbidden for url: https://www.govtrack.us/congress/bills/96/s932,United States of America,Biomass Energy and Alcohol Fuels Act United States of America (1980),403_Forbidden
211000300,reference,1,https://www.dqsglobal.com/intl/certify/iscc-certification,403 Client Error: Forbidden for url: https://www.dqsglobal.com/intl/certify/iscc-certification,France,Biomass Verification Standards France (2005),403_Forbidden
211000316,reference,1,https://www.energy.gov/eere/ssl/l-prize-competition-overview,403 Client Error: Forbidden for url: https://www.energy.gov/eere/ssl/l-prize-competition-overview,United States of America,Bright Tomorrow Lighting Prizes (L-Prizes) United States of America (2008),403_Forbidden
211000349,reference,1,https://www.gov.za/about-government/bus-rapid-transit-system-brt,403 Client Error: Forbidden for url: https://www.gov.za/about-government/bus-rapid-transit-system-brt,South Africa,Bus Rapid Transit Systems (BRT) South Africa (2014),403_Forbidden
211000397,reference,1,https://www.iges.or.jp/en/pub/foreign-carbon-credit-purchasing-options-open/en,403 Client Error: Forbidden for url: https://www.iges.or.jp/en/pub/foreign-carbon-credit-purchasing-options-open/en,Japan,Carbon Credit Procurement Program Japan (2005),403_Forbidden
211000405,reference,1,https://www.unep.org/resources/report/korea-environmental-policy-bulletin-koreas-national-green-growth-strategy-and,403 Client Error: Forbidden for url: https://www.unep.org/resources/report/korea-environmental-policy-bulletin-koreas-national-green-growth-strategy-and,Republic of Korea,Carbon Neutral Program Republic of Korea (2008),403_Forbidden
211000409,reference,1,https://researchbriefings.files.parliament.uk/documents/SN05927/SN05927.pdf,403 Client Error: Forbidden for url: https://researchbriefings.files.parliament.uk/documents/SN05927/SN05927.pdf,United Kingdom,Carbon Price Floor United Kingdom (2013),403_Forbidden
211000411,reference,1,https://www.cbo.gov/sites/default/files/110th-congress-2007-2008/reports/09-12-carbonsequestration.pdf,403 Client Error: Forbidden for url: https://www.cbo.gov/sites/default/files/110th-congress-2007-2008/reports/09-12-carbonsequestration.pdf,United States of America,Carbon Sequestration Capacity Assessment United States of America (2007),403_Forbidden
