policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000005,reference,1,http://www.iso.org/iso/en/kidsiso14000/index.html,404 Client Error: Not Found for url: https://www.iso.org/iso/en/kidsiso14000/index.html,Republic of Korea,Kids ISO 14000 Program for Energy Conservation and GHG Reduction Republic of Korea (2005),404_Not_Found
211000061,reference2,2,http://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,404 Client Error: Not Found for url: https://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,Japan,4th Strategic Energy Plan Japan (2014),404_Not_Found
211000076,reference,1,http://www.energy2030.org/roadmap,404 Client Error: Not Found for url: http://www.energy2030.org/roadmap,United States of America,Accelerate Energy Productivity 2030 United States of America (2014),404_Not_Found
211000106,reference,1,http://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,404 Client Error: Not Found for url: https://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,Republic of Korea,Act to Promote the Purchase of Environmentally Friendly Products Republic of Korea (2010),404_Not_Found
211000110,reference,1,https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,Brazil,Action Plan for Deforestation Prevention and Control in the Legal Amazon - PPCDAm Brazil (2004),404_Not_Found
211000111,reference,1,http://redd.mma.gov.br/en/legal-and-public-policy-framework/ppcerrado,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/composicao/secd/redd,Brazil,Action Plan for Deforestation Prevention and Control of Deforestation and Burning in the Cerrados (PPCerrados) Brazil (2009),404_Not_Found
211000128,reference,1,http://www.oe.energy.gov/storage.htm,404 Client Error: Not Found for url: https://www.energy.gov/oe/office-electricity/storage.htm,United States of America,Advanced Energy Storage Program United States of America (1992),404_Not_Found
211000133,reference,1,https://fas.org/sgp/crs/misc/R42064.pdf,404 Client Error: Not Found for url: https://fas.org/sgp/crs/misc/R42064.pdf,United States of America,Advanced Technology Vehicle Manufacturing Loan Program United States of America (2008),404_Not_Found
211000150,reference,1,http://www.iea-coal.org.uk/documents/82549/9446/Japan,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82549/9446/Japan,Japan,Air Pollution Control Law Japan (1968),404_Not_Found
211000177,reference,1,https://www.dena.de/en/topics/energy-efficiency/mobility/fuels-technologies/,404 Client Error: Not Found for url: https://www.dena.de/en/topics/energy-efficiency/mobility/fuels-technologies/,Germany,Alternative fuels and engines Germany (2004),404_Not_Found
211000184,reference,1,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-10/6961,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-10/6961,Canada,Amendment 10 to the Energy efficiency Regulations: MEPS Canada (2008),404_Not_Found
211000185,reference,1,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-11/6967,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-11/6967,Canada,Amendment 11 to the Energy efficiency Regulations Canada (2012),404_Not_Found
211000187,reference,1,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-12b/12342,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-12b/12342,Canada,Amendment 12B to the Energy efficiency Regulations Canada (2013),404_Not_Found
211000204,reference,1,https://www.iea.org/policies/6130-argentina-renewable-energy-auctions-renovar-program-round-1,404 Client Error: Not Found for url: https://www.iea.org/policies/6130-argentina-renewable-energy-auctions-renovar-program-round-1,Argentina,Renewable Energy Auctions - RenovAr Program Argentina (2016),404_Not_Found
211000214,reference,1,http://www.iea-coal.org.uk/documents/82617/9443/South%20Africa,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82617/9443/South%20Africa,South Africa,Atmospheric Pollution Prevention Act South Africa (1965),404_Not_Found
211000232,reference2,2,http://www.scc.ca/en/standardsdb/standards/26268,404 Client Error: Not Found for url: https://www.scc.ca/en/standardsdb/standards/26268,Canada,Automotive diesel fuel containing low levels of biodiesel (B1-B5) CAN/CGSB-3.520 Canada (2011),404_Not_Found
211000238,reference,1,https://www.boma.bc.ca/media/14854/BOMA-BESt-V2-Application-Guide-FULL1.pdf,404 Client Error: Not Found for url: https://www.boma.bc.ca/media/14854/BOMA-BESt-V2-Application-Guide-FULL1.pdf,Canada,BOMA BESt (Building Environmental Standards) Canada (2012),404_Not_Found
211000243,reference,1,http://www.iea-coal.org.uk/documents/82549/9446/Japan,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82549/9446/Japan,Japan,Basic Environmental Law Japan (1993),404_Not_Found
211000245,reference,1,http://www.motie.go.kr/www/wwwMain/main.do,404 Client Error: Not Found for url: http://www.motie.go.kr/www/wwwMain/main.do,Republic of Korea,Basic Plan for the Rationalization of Energy Use Republic of Korea (1993),404_Not_Found
