policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000097,reference,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,Japan,"Act on Special Measures concerning Advancement of Implementation of Forest Thinning, etc Japan (2013)",503_Service_Unavailable
211000372,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,Canada,Action Plan to Reduce Greenhouse Gas Emissions from Aviation Canada (2012),503_Service_Unavailable
211000403,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,Australia,Carbon Farming Initiative Amendment Bill Australia (2014),503_Service_Unavailable
211000467,reference,1,http://digitalcollection.gov.mb.ca/awweb/pdfopener?smd=1&did=11737&md=1,503 Server Error: Service Unavailable for url: https://digitalcollection.gov.mb.ca/awweb/pdfopener?smd=1&did=11737&md=1,Canada,Clean Energy Transfer Initiative - Joint Energy Project between Ontario and Manitoba Canada (2004),503_Service_Unavailable
211000501,reference,1,http://unfccc.int/files/national_reports/non-annex_i_parties/ica/technical_support_for_the_ica_process/application/pdf/executive_summary.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/non-annex_i_parties/ica/technical_support_for_the_ica_process/application/pdf/executive_summary.pdf,Mexico,Climate Change Fund Mexico (2012),503_Service_Unavailable
211000589,reference,1,http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/europeanunioncphaccord_app1.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/europeanunioncphaccord_app1.pdf,European Union,Copenhagen Accord European Union (27) (2009),503_Service_Unavailable
211000590,reference,1,http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/brazilcphaccord_app2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/brazilcphaccord_app2.pdf,Brazil,Copenhagen Accord Pledge Brazil (2010),503_Service_Unavailable
211000592,reference,1,http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/russiacphaccord_app1engl.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/russiacphaccord_app1engl.pdf,Russian Federation,Copenhagen Accord pledge of Russia Russian Federation (2010),503_Service_Unavailable
211000750,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,Canada,EcoENERGY Innovation Initiative Canada (2011),503_Service_Unavailable
211000792,reference,1,http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/southafricacphaccord_app2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/southafricacphaccord_app2.pdf,South Africa,Copenhagen Accord pledge South Africa (2010),503_Service_Unavailable
211000895,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,Australia,Energy Efficiency Information Grants (EEIG) Australia (2012),503_Service_Unavailable
211001190,reference,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,Japan,"Food, Agriculture and Rural Basic Plan Japan (2015)",503_Service_Unavailable
211001832,reference,1,https://www.iea.org/policies/8503-minimum-energy-performance-rating-for-rental-properties-england-and-wales?country=United%20Kingdom&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/8503-minimum-energy-performance-rating-for-rental-properties-england-and-wales?country=United%20Kingdom&qs=united,United Kingdom,Minimum Energy Performance Rating for Rental Properties United Kingdom (2018),503_Service_Unavailable
211001928,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/aus_nc6.pdf,Australia,National Construction Code Australia (2010),503_Service_Unavailable
211002056,reference,1,http://unfccc.int/files/national_reports/non-annex_i_parties/ica/technical_support_for_the_ica_process/application/pdf/executive_summary.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/non-annex_i_parties/ica/technical_support_for_the_ica_process/application/pdf/executive_summary.pdf,Mexico,National Strategy for Reducing Emissions from Deforestation and Forest Degradation Mexico (2012),503_Service_Unavailable
211002060,reference,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/2br_rus.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/2br_rus.pdf,Russian Federation,National Strategy of Forestry Development by 2020 Russian Federation (2008),503_Service_Unavailable
211002425,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,Canada,Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations Canada (2012),503_Service_Unavailable
211002524,reference,1,http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,Canada,Renewable Fuel Regulations Canada (2011),503_Service_Unavailable
