policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000022,reference,1,http://www.nrm.gov.au/national/20-million-trees,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",Australia,20 Million Trees Australia (2014),Connection_Error
211000023,reference,1,http://mospi.nic.in/twenty-point-programme/archived-twenty-point-programme-1986,"HTTPConnectionPool(host='mospi.nic.in', port=80): Max retries exceeded with url: /twenty-point-programme/archived-twenty-point-programme-1986 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFCAF190>: Failed to resolve 'mospi.nic.in' ([Errno 11001] getaddrinfo failed)""))",India,20 point Programme India (1986),Connection_Error
211000051,reference,1,http://www.jrc.es/cfapp/eneriure/Tables/GERtables.pdf,"HTTPConnectionPool(host='www.jrc.es', port=80): Max retries exceeded with url: /cfapp/eneriure/Tables/GERtables.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EF9328D0>: Failed to resolve 'www.jrc.es' ([Errno 11001] getaddrinfo failed)""))",Germany,250 MW Wind Programme Germany (1989),Connection_Error
211000119,reference,1,http://www.cnea.gov.ar/sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf,"HTTPConnectionPool(host='www.cnea.gov.ar', port=80): Max retries exceeded with url: /sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232F21290D0>: Failed to resolve 'www.cnea.gov.ar' ([Errno 11001] getaddrinfo failed)""))",Argentina,"Law 26,566 on Nuclear Activity Argentina (2009)",Connection_Error
211000141,reference2,2,http://repiica.iica.int/docs/B3218E/B3218E.PDF,"HTTPConnectionPool(host='repiica.iica.int', port=80): Max retries exceeded with url: /docs/B3218E/B3218E.PDF (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFAA0250>: Failed to resolve 'repiica.iica.int' ([Errno 11001] getaddrinfo failed)""))",Argentina,Resolution 120/2011 on Smart Agriculture Argentina (2011),Connection_Error
211000165,reference,1,https://inis.iaea.org/search/search.aspx?orig_q=RN:30041882,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Canada,Alberta Reductions in Flaring Canada (1999),Connection_Error
211000172,reference,1,https://www.oilandgastoday.com.au/the-australian-natural-gas-vehicle-industry/,"HTTPConnectionPool(host='ww84.oilandgastoday.com.au', port=80): Max retries exceeded with url: /the-australian-natural-gas-vehicle-industry/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFE93450>: Failed to resolve 'ww84.oilandgastoday.com.au' ([Errno 11001] getaddrinfo failed)""))",Australia,Alternative Fuels Conversion Programme Australia (2000),Connection_Error
211000200,reference,1,http://www.eere.energy.gov/buildings/appliance_standards/,"HTTPSConnectionPool(host='www.eere.energy.gov', port=443): Max retries exceeded with url: /buildings/appliance_standards/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))",United States of America,Appliance and Equipment Energy efficiency Standards United States of America (2006),Connection_Error
211000215,reference,1,http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0980/v1/,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",United States of America,Atomic Energy Act United States of America (1954),Connection_Error
211000242,reference,1,http://www.mctic.gov.br/mctic/opencms/legislacao/portarias_interministeriais/migracao/Portaria_Interministerial_MMEMCTMDIC_n_1007_de_31122010.html,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",Brazil,Efficient lighting policy Brazil (2010),Connection_Error
211000247,reference,1,https://www.eea.europa.eu/themes/air/links/guidance-and-tools/eu-best-available-technology-reference,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",European Union,Best Available Techniques Reference Documents (BREFs) - IPCC Directive European Union (27) (1996),Connection_Error
211000251,reference,1,https://betterbuildingssolutioncenter.energy.gov/better-plants,"HTTPSConnectionPool(host='betterbuildingssolutioncenter.energy.gov', port=443): Max retries exceeded with url: /better-plants (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))",United States of America,"Better Plants, Better Buildings United States of America (2011)",Connection_Error
211000280,reference,1,http://www.energy.gov.za/files/esources/petroleum/petroleum_bio.html,"HTTPSConnectionPool(host='www.energy.gov.za', port=443): Max retries exceeded with url: /files/esources/petroleum/petroleum_bio.html (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",South Africa,Biofuels Industrial Strategy South Africa (2007),Connection_Error
211000280,reference2,2,http://www.energy.gov.za/files/esources/petroleum/Biofuels.pdf,"HTTPSConnectionPool(host='www.energy.gov.za', port=443): Max retries exceeded with url: /files/esources/petroleum/Biofuels.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",South Africa,Biofuels Industrial Strategy South Africa (2007),Connection_Error
211000323,reference,1,http://www1.eere.energy.gov/buildings/building_america/,"HTTPSConnectionPool(host='energy.gov', port=443): Max retries exceeded with url: /node/773661 (Caused by SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1006)')))",United States of America,Building America United States of America (2004),Connection_Error
211000325,reference,1,https://www.infrastructure.gc.ca/prog/bcp-pcc-eng.html,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Canada,Building Plan Canada (2007),Connection_Error
