policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000008,reference,1,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,"HTTPConnectionPool(host='www.nathers.gov.au', port=80): Read timed out. (read timeout=30)",Australia,10 Star NatHERS Rating for Buildings Australia (2015),Timeout
211000047,reference,1,https://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/6th_outline.pdf,"HTTPSConnectionPool(host='www.enecho.meti.go.jp', port=443): Read timed out. (read timeout=30)",Japan,2030 Outlook for Energy Supply and Demand Japan (2015),Timeout
211000061,reference,1,http://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/4th_strategic_energy_plan.pdf,"HTTPConnectionPool(host='www.enecho.meti.go.jp', port=80): Read timed out. (read timeout=30)",Japan,4th Strategic Energy Plan Japan (2014),Timeout
211000068,reference,1,http://www.bilgitoplumu.gov.tr/wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf,"HTTPConnectionPool(host='www.bilgitoplumu.gov.tr', port=80): Max retries exceeded with url: /wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000232EFD27350>, 'Connection to www.bilgitoplumu.gov.tr timed out. (connect timeout=30)'))",Turkey,8th Five-Year Development Plan Turkey (1999),Timeout
211000069,reference,1,https://www.my.gov.sa/wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/,"HTTPSConnectionPool(host='www.my.gov.sa', port=443): Max retries exceeded with url: /wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232EF7D9A10>, 'Connection to www.my.gov.sa timed out. (connect timeout=30)'))",Saudi Arabia,9th Development Plan Saudi Arabia (2010),Timeout
211000083,reference,1,http://www.meti.go.jp,"HTTPConnectionPool(host='www.meti.go.jp', port=80): Read timed out. (read timeout=30)",Japan,Acceleration of the Diffusion of Photovoltaic Japan (2000),Timeout
211000171,reference,1,http://www.dm.usda.gov/pmd/alt_fuel.htm,"HTTPSConnectionPool(host='www.usda.gov', port=443): Read timed out. (read timeout=30)",United States of America,Alternative Fuels & Fleet Efficiency Program United States of America (1999),Timeout
211000173,reference,1,https://web.archive.org/web/20121030153548/,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20121030153548/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232EFE78C50>, 'Connection to web.archive.org timed out. (connect timeout=30)'))",European Union,Alternative Fuels for Transport European Union (27) (2001),Timeout
211000225,reference,1,https://www.energyrating.gov.au/sites/default/files/2023-03/200003-achievements.pdf,"HTTPSConnectionPool(host='www.energyrating.gov.au', port=443): Read timed out. (read timeout=30)",Australia,Galaxy Energy Awards Australia (1999),Timeout
211000260,reference,1,http://www.da.usda.gov/energyandenvironment/greenpurchasing/index.html,"HTTPSConnectionPool(host='www.usda.gov', port=443): Read timed out. (read timeout=30)",United States of America,BioPreferred Program United States of America (2002),Timeout
