Language,Count,Percentage
English,3719,85.89
Spanish,167,3.86
German,72,1.66
Portuguese,68,1.57
French,53,1.22
Catalan,47,1.09
Italian,42,0.97
Too Short to Detect,40,0.92
Danish,15,0.35
Russian,15,0.35
Indonesian,10,0.23
Swedish,10,0.23
Bengali,9,0.21
Turkish,8,0.18
Chinese (Simplified),8,0.18
Norwegian,7,0.16
Dutch,6,0.14
Ukrainian,6,0.14
Korean,6,0.14
Japanese,4,0.09
Thai,4,0.09
Vietnamese,4,0.09
Finnish,3,0.07
Slovenian,1,0.02
Slovak,1,0.02
Latvian,1,0.02
Estonian,1,0.02
Afrikaans,1,0.02
Romanian,1,0.02
Polish,1,0.02
