policy_id,ref_num,url,error,file_type,expected_filename,saved
211000001,1,https://www.iea.org/policies/4673-feed-in-tariff-for-solar-thermodynamic-energy?q=Italy,,html,211000001_ref1,True
211000002,1,https://www.bmwi.de/Redaktion/EN/Artikel/Energy/monitoring-implementation-of-the-energy-reforms.html,,html,211000002_ref1,True
211000003,1,http://www.stromeffizienz.de/,,html,211000003_ref1,True
211000004,1,https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,403 Client Error: Forbidden for url: https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,,211000004_ref1,False
211000005,1,http://www.iso.org/iso/en/kidsiso14000/index.html,404 Client Error: Not Found for url: https://www.iso.org/iso/en/kidsiso14000/index.html,,211000005_ref1,False
211000006,1,https://www.service-public.fr/particuliers/actualites/A13767,410 Client Error: Gone for url: https://www.service-public.gouv.fr/particuliers/actualites/A13767,,211000006_ref1,False
211000007,1,https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,403 Client Error: Forbidden for url: https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,,211000007_ref1,False
211000008,1,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,"HTTPConnectionPool(host='www.nathers.gov.au', port=80): Read timed out. (read timeout=30)",,211000008_ref1,False
211000009,1,https://uk-air.defra.gov.uk/assets/documents/reports/empire/transport/tp10y.pdf,,pdf,211000009_ref1,True
211000011,1,http://www.kfw.de,,html,211000011_ref1,True
211000012,1,https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,,211000012_ref1,False
211000013,1,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,403 Client Error: Forbidden for url: https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,,211000013_ref1,False
211000014,1,http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf,,pdf,211000014_ref1,True
211000015,1,http://www.china.org.cn/english/8449.htm,,html,211000015_ref1,True
211000016,1,https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,403 Client Error: Forbidden for url: https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,,211000016_ref1,False
211000017,1,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,,211000017_ref1,False
211000018,1,http://english.www.gov.cn/12thFiveYearPlan/,,html,211000018_ref1,True
211000019,1,https://policy.asiapacificenergy.org/node/2918,,html,211000019_ref1,True
211000020,1,https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,403 Client Error: Forbidden for url: https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,,211000020_ref1,False
211000021,1,https://www.somewhatfrank.com/2007/03/18secondsorg_to.html,,html,211000021_ref1,True
211000022,1,http://www.nrm.gov.au/national/20-million-trees,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,211000022_ref1,False
211000023,1,http://mospi.nic.in/twenty-point-programme/archived-twenty-point-programme-1986,"HTTPConnectionPool(host='mospi.nic.in', port=80): Max retries exceeded with url: /twenty-point-programme/archived-twenty-point-programme-1986 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFCAF190>: Failed to resolve 'mospi.nic.in' ([Errno 11001] getaddrinfo failed)""))",,211000023_ref1,False
211000025,1,https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,403 Client Error: Forbidden for url: https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,,211000025_ref1,False
211000026,1,https://webarchive.nationalarchives.gov.uk/ukgwa/20080211230329/http://www.defra.gov.uk/environment/climatechange/uk/energy/efficiency.htm,,html,211000026_ref1,True
211000027,1,https://www.iea.org/policies/4653-2009-amendment-of-the-renewable-energy-sources-act-eeg-2009,,html,211000027_ref1,True
211000028,1,https://www.iea.org/policies/4987-2010-biomass-electricity-feed-in-tariff,,html,211000028_ref1,True
211000029,1,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-422/PDE%202029.pdf,,pdf,211000029_ref1,True
211000031,1,https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,,211000031_ref1,False
211000032,1,https://www.bmwi.de/Redaktion/EN/Dossier/renewable-energy.html,,html,211000032_ref1,True
211000033,1,https://www.iea.org/policies/5295-2012-renewable-energy-electricity-feed-in-tariff,,html,211000033_ref1,True
211000034,1,http://www.gov.cn/zwgk/2013-01/06/content_2305793.htm,,html,211000034_ref1,True
211000035,1,http://www.bmwi.de/EN/Topics/Energy/Renewable-Energy/2014-renewable-energy-sources-act.html,,html,211000035_ref1,True
211000036,1,https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,403 Client Error: Forbidden for url: https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,,211000036_ref1,False
211000037,1,https://policy.asiapacificenergy.org/node/2170,,html,211000037_ref1,True
211000038,1,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/370156/20141103_Summary_sector_resilience_plan_2014.pdf,,pdf,211000038_ref1,True
211000039,1,https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,,211000039_ref1,False
211000040,1,https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,403 Client Error: Forbidden for url: https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,,211000040_ref1,False
211000041,1,https://www.iea.org/policies/7137-2015-iecc-with-amendments-commercial-building-code-virginia?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7137-2015-iecc-with-amendments-commercial-building-code-virginia?country=United%20States&qs=united,,211000041_ref1,False
211000042,1,https://www.iea.org/policies/7138-2015-iecc-with-amendments-residential-building-code-virginia?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7138-2015-iecc-with-amendments-residential-building-code-virginia?country=United%20States&qs=united,,211000042_ref1,False
211000043,1,https://www.iea.org/policies/7124-2015-iecc-with-amendments-state-building-code-pennsylvania?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7124-2015-iecc-with-amendments-state-building-code-pennsylvania?country=United%20States&qs=united,,211000043_ref1,False
211000044,1,https://www.iea.org/policies/8477-2017-2025-cafeghg-rule?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/8477-2017-2025-cafeghg-rule?country=United%20States&qs=united,,211000044_ref1,False
211000045,1,https://www.iea.org/policies/7119-2018-north-carolina-commercial-building-code-based-on-the-2015-iecc-with-amendments?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7119-2018-north-carolina-commercial-building-code-based-on-the-2015-iecc-with-amendments?country=United%20States&qs=united,,211000045_ref1,False
211000046,1,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=LEGISSUM:2001_8,,html,211000046_ref1,True
211000047,1,https://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/6th_outline.pdf,"HTTPSConnectionPool(host='www.enecho.meti.go.jp', port=443): Read timed out. (read timeout=30)",,211000047_ref1,False
211000049,1,http://ec.europa.eu/energy/en/topics/energy-strategy/2030-energy-strategy,,html,211000049_ref1,True
211000050,1,https://www.energy.gov/eere/vehicles/21st-century-truck-partnership,,html,211000050_ref1,True
211000051,1,http://www.jrc.es/cfapp/eneriure/Tables/GERtables.pdf,"HTTPConnectionPool(host='www.jrc.es', port=80): Max retries exceeded with url: /cfapp/eneriure/Tables/GERtables.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EF9328D0>: Failed to resolve 'www.jrc.es' ([Errno 11001] getaddrinfo failed)""))",,211000051_ref1,False
211000052,1,https://climate-laws.org/geographies/south-korea/laws/act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy,,html,211000052_ref1,True
211000053,1,http://unfccc.int/resource/docs/natc/kornc3.pdf,,pdf,211000053_ref1,True
211000054,1,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/48144/2289-uk-report-eu-enduse-esd.pdf,,pdf,211000054_ref1,True
211000055,1,https://www.bmwi.de/Redaktion/EN/Downloads/zweiter-nationaler-energieeffizienz-aktionsplan-der-brd-begleitdokument.pdf?__blob=publicationFile&v=1,,pdf,211000055_ref1,True
211000056,1,https://www.iea.org/policies/16959-korea-energy-master-plan-outlook-and-policies-to-2035-second-energy-master-plan,,html,211000056_ref1,True
211000057,1,http://unfccc.int/resource/docs/natc/kornc02.pdf,,pdf,211000057_ref1,True
211000058,1,http://www.japanfs.org/en/news/archives/news_id031723.html,,html,211000058_ref1,True
211000059,1,http://unfccc.int/resource/docs/natc/kornc3.pdf,,pdf,211000059_ref1,True
211000060,1,https://eneken.ieej.or.jp/data/5842.pdf,,pdf,211000060_ref1,True
211000061,1,http://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/4th_strategic_energy_plan.pdf,"HTTPConnectionPool(host='www.enecho.meti.go.jp', port=80): Read timed out. (read timeout=30)",,211000061_ref1,False
211000061,2,http://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,404 Client Error: Not Found for url: https://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,,211000061_ref2,False
211000062,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/canadas_2nd_biennial_report.pdf,,pdf,211000062_ref1,True
211000063,1,https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,,211000063_ref1,False
211000064,1,http://tech.nikkeibp.co.jp/dm/atclen/news_en/15mk/042802072/?ST=msbe;%20,,html,211000064_ref1,True
211000064,2,https://www.env.go.jp/en/policy/plan/basic/pt2.html,,html,211000064_ref2,True
211000065,1,https://www.certifiedenergy.com.au/what-is-nathers/nathers-certificate-report/tips-6-star-nathers-assessment,,html,211000065_ref1,True
211000066,1,http://www.kpx.or.kr/eng/downloadBbsFile.do?atchmnflNo=26448,,html,211000066_ref1,True
211000068,1,http://www.bilgitoplumu.gov.tr/wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf,"HTTPConnectionPool(host='www.bilgitoplumu.gov.tr', port=80): Max retries exceeded with url: /wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000232EFD27350>, 'Connection to www.bilgitoplumu.gov.tr timed out. (connect timeout=30)'))",,211000068_ref1,False
211000069,1,https://www.my.gov.sa/wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/,"HTTPSConnectionPool(host='www.my.gov.sa', port=443): Max retries exceeded with url: /wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232EF7D9A10>, 'Connection to www.my.gov.sa timed out. (connect timeout=30)'))",,211000069_ref1,False
211000070,1,https://unfccc.int/files/meetings/seminar/application/pdf/sem_sup3_south_africa.pdf,,pdf,211000070_ref1,True
211000071,1,https://www.legislation.gov.au/Details/C2014C00008,,html,211000071_ref1,True
211000072,1,https://www.idc.co.za/afd-green-energy-fund/,,html,211000072_ref1,True
211000073,1,https://www.rcaanc-cirnac.gc.ca/eng/1100100034249/1594735106676,,html,211000073_ref1,True
211000074,1,https://rcaanc-cirnac.gc.ca/eng/1465235699114/1537888360689,,html,211000074_ref1,True
211000075,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.del.presidente.della.repubblica:2011-07-18;114!vig=,,html,211000075_ref1,True
211000076,1,http://www.energy2030.org/roadmap,404 Client Error: Not Found for url: http://www.energy2030.org/roadmap,,211000076_ref1,False
211000076,2,http://energy.gov/sites/prod/files/2015/03/f20/Accelerate%20Energy%20Productivity%202030%20Fact%20Sheet%20Updated.pdf,,pdf,211000076_ref2,True
211000077,1,https://www.iea.org/policies/928-income-tax-act-accelerated-capital-cost-allowance?country=Canada&page=8&qs=germany,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/928-income-tax-act-accelerated-capital-cost-allowance?country=Canada&page=8&qs=germany,,211000077_ref1,False
211000078,1,https://www.iea.org/policies/3084-accelerated-depreciation-for-environmental-investment-depreciacion-acelerada-para-inversiones-que-reportan-beneficios-ambientales,,html,211000078_ref1,True
